prompt,expression_internvl
"A woman looks down to her left, her mouth slightly open in a laugh, while holding a coffee cup.jpg",happy
A boy looks upward with wide eyes and a surprised expression as snowflakes fall on his face.jpg,surprise
"A girl faces downward with a shy smile, cheeks slightly blushing.jpg",sad
"A girl turns her head left and giggles, eyes squinted, reacting to a friendâ€™s joke.jpg",happy
"A girl turns her head over her right shoulder, smiling playfully toward a friend calling her name.jpg",happy
"A lady turns her head back over her shoulder, lips slightly parted, showing a surprised expression.jpg",surprise
"A man faces slightly downward, smiling proudly as sunlight shines on his face.jpg","<think>
okay, lets look at the image the person is smiling with their eyes closed, which usually indicates happiness the smile seems genuine, and theres no sign of surprise or confusion the expression doesnt look sad or neutral either since the allowed categories include happy and the other options dont fit, the correct classification should be happy
</think>

happy"
"A man leans his head toward his right shoulder, showing a puzzled or questioning look.jpg",sad
"A man looks to his right, lips pursed as if whistling softly, with his head slightly raised.jpg",others
"A man looks up and to his left with a thoughtful expression, as if remembering something.jpg",neutral
"A man slightly turns his face upward to the left, smiling confidently as wind moves his hair.jpg",happy
"A man tilts his head left with a relaxed smile, eyes glancing downward toward his pet dog.jpg",happy
A man turns his head slightly to the right and smiles gently while looking at a small butterfly near his shoulder.jpg,happy
A teenage boy turns his head right and narrows his eyes with a playful smirk.jpg,happy
"A woman looks sideways toward the left, brows raised, as if reacting in surprise.jpg",surprise
"A woman looks upward with her head tilted back slightly, expressing joy and laughter.jpg",happy
"A woman tilts her head backward with eyes closed, expressing satisfaction and calmness.jpg",happy
"A woman with her head tilted right and eyes half-closed gives a soft, dreamy smile.jpg",happy
"A young man looks straight but raises his eyebrows in curiosity, head slightly leaned forward.jpg",confuse
A young woman tilts her head downward with a warm grin as she gazes at a cat resting on her lap.jpg,happy
